 ,outage_UE,avg_T,stdev_T,avg_UE_number,stdev_UE_number,avg_capacity_UE,stdev_capacity_UE,avg_T_UE,stdev_T_UE,avg_T_LTE,avg_T_WIFI,stdev_T_WIFI,avg_UE_number_LTE,avg_UE_number_WIFI,stdev_UE_number_WIFI,avg_capacity_LTEUE,stdev_capacity_UE_LTE,avg_capacity_WIFIUE,stdev_capacity_UE_WIFI,avg_T_UE_LTE,avg_T_UE_WIFI,stdev_T_UE_WIFI,DB_satisfied, ,outage_UE,avg_T,stdev_T,avg_UE_number,stdev_UE_number,avg_capacity_UE,stdev_capacity_UE,avg_T_UE,stdev_T_UE,avg_T_LTE,avg_T_WIFI,stdev_T_WIFI,avg_UE_number_LTE,avg_UE_number_WIFI,stdev_UE_number_WIFI,avg_capacity_LTEUE,stdev_capacity_UE_LTE,avg_capacity_WIFIUE,stdev_capacity_UE_WIFI,avg_T_UE_LTE,avg_T_UE_WIFI,stdev_T_UE_WIFI,DB_satisfied, ,outage_UE,avg_T,stdev_T,avg_UE_number,stdev_UE_number,avg_capacity_UE,stdev_capacity_UE,avg_T_UE,stdev_T_UE,avg_T_LTE,avg_T_WIFI,stdev_T_WIFI,avg_UE_number_LTE,avg_UE_number_WIFI,stdev_UE_number_WIFI,avg_capacity_LTEUE,stdev_capacity_UE_LTE,avg_capacity_WIFIUE,stdev_capacity_UE_WIFI,avg_T_UE_LTE,avg_T_UE_WIFI,stdev_T_UE_WIFI,DB_satisfied, ,outage_UE,avg_T,stdev_T,avg_UE_number,stdev_UE_number,avg_capacity_UE,stdev_capacity_UE,avg_T_UE,stdev_T_UE,avg_T_LTE,avg_T_WIFI,stdev_T_WIFI,avg_UE_number_LTE,avg_UE_number_WIFI,stdev_UE_number_WIFI,avg_capacity_LTEUE,stdev_capacity_UE_LTE,avg_capacity_WIFIUE,stdev_capacity_UE_WIFI,avg_T_UE_LTE,avg_T_UE_WIFI,stdev_T_UE_WIFI,DB_satisfied, ,outage_UE,avg_T,stdev_T,avg_UE_number,stdev_UE_number,avg_capacity_UE,stdev_capacity_UE,avg_T_UE,stdev_T_UE,avg_T_LTE,avg_T_WIFI,stdev_T_WIFI,avg_UE_number_LTE,avg_UE_number_WIFI,stdev_UE_number_WIFI,avg_capacity_LTEUE,stdev_capacity_UE_LTE,avg_capacity_WIFIUE,stdev_capacity_UE_WIFI,avg_T_UE_LTE,avg_T_UE_WIFI,stdev_T_UE_WIFI,DB_satisfied
1000,20.0606,4.11686,54.8899,4.87532,3.46817,5465.54,5942.41,17.8268,0.297157,780.36,0.235646,0.211479,21.9394,4.79,3.25253,841.939,1008.33,5570.8,6008.05,780.36,0.352268,0.300526,958.515,,18.5625,4.27139,57.0549,4.88277,3.47197,5443.87,5908.7,19.3905,0.299982,811.128,0.237112,0.213535,21.5938,4.79922,3.2663,781.678,933.389,5548.15,5972.94,811.128,0.355265,0.303326,962.938,,18.5625,4.27139,57.0549,4.88277,3.47197,5443.87,5908.7,19.3905,0.299982,811.128,0.237112,0.213535,21.5938,4.79922,3.2663,781.678,933.389,5548.15,5972.94,811.128,0.355265,0.303326,962.938,,20.375,4.11167,54.8095,4.87376,3.47322,5451.7,5899.21,17.704,0.298967,779.216,0.236142,0.212452,21.8125,4.78906,3.26158,823.396,999.545,5556.54,5963.96,779.216,0.353612,0.30234,958.344,,0,15.0281,211.07,4.97512,22.0386,6923.54,9653.05,937.672,0.244,3000,0.103266,0.166936,312.5,3.4375,3.55816,101.553,86.0098,10044.4,11650.8,3000,0.250532,0.294133,687.5,,
2000,57.875,4.07029,44.2963,9.66231,5.7522,2722.23,2987.35,10.3169,17.0784,569.164,1.24483,8.92901,22.9375,9.59594,5.68511,893.119,1046.98,2743.87,3002.76,569.164,3.40058,17.1827,1905.56,,55.9375,4.92246,56.9237,9.67195,5.75644,2717.95,2981.89,11.8542,14.4543,759.313,1.15051,7.58246,22.9063,9.60578,5.69001,861.406,984.126,2739.82,2997.43,759.313,3.02926,14.542,1909.81,,55.9375,4.92246,56.9237,9.67195,5.75644,2717.95,2981.89,11.8542,14.4543,759.313,1.15051,7.58246,22.9063,9.60578,5.69001,861.406,984.126,2739.82,2997.43,759.313,3.02926,14.542,1909.81,,57.9063,4.06869,44.2939,9.66216,5.75143,2722.77,2987.77,10.3134,17.0792,569.02,1.24394,8.92895,22.9375,9.59578,5.68427,894.525,1049.44,2744.4,3003.19,569.02,3.39868,17.1835,1905.53,,0,19.2602,234.073,9.95025,44.247,3917.91,6619.26,960.312,108.908,3000,4.3565,54.5485,628.576,6.85712,6.58876,51.2061,43.026,5704,7999.86,3000,24.8657,130.378,1360.12,,
3000,119.375,9.00627,75.1327,14.3315,7.65627,1803.18,1915.48,18.641,70.599,698.408,5.55927,44.5859,22,14.2931,7.65398,821.901,950.466,1810.54,1920.72,698.408,13.1453,70.861,2774.88,,114.848,9.60866,87.0254,14.354,7.64797,1798.04,1908.34,18.1808,60.7708,971.621,4.7986,38.5167,21.8182,14.3167,7.64677,776.637,906.301,1805.65,1913.63,971.621,11.0301,61.003,2799.06,,114.697,9.72267,88.0072,14.3547,7.6497,1798,1908.29,18.5054,64.4768,971.621,4.91318,40.7591,21.8182,14.3174,7.6485,776.637,906.301,1805.61,1913.59,971.621,11.3578,64.7246,2805.58,,118.091,8.81154,73.3574,14.3379,7.63685,1802.45,1912.85,18.2054,68.9998,682.122,5.44498,43.5672,21.9697,14.2997,7.63471,826.177,959.089,1809.76,1918.02,682.122,12.8441,69.2559,2778.67,,0,39.4225,327.268,14.9254,67.0221,2766.35,5079.41,1034.8,397.548,3000,24.6196,224.401,953.152,10.2342,9.45434,32.9579,27.6121,4045.82,6154.15,3000,118.986,480.262,1963.76,,
4000,197.182,21.4631,135.163,18.9195,9.33548,1319.92,1398.66,38.507,157.898,664.148,18.2497,114.022,21.697,18.9056,9.35517,835.343,1014.69,1322.6,1400.38,664.148,34.8523,158.351,3545.64,,189.152,17.5041,111.854,18.9594,9.36651,1316.54,1397.02,30.2458,112.636,782.879,13.6772,80.8638,21.5152,18.9467,9.38669,771.063,921.774,1319.53,1399.03,782.879,26.0135,112.96,3614.94,,187.848,18.2538,120.384,18.9659,9.37896,1316.44,1396.74,31.966,125.824,782.879,14.4307,89.5487,21.5152,18.9532,9.39919,771.063,921.774,1319.43,1398.75,782.879,27.7452,126.185,3623,,197.303,20.5358,129.277,18.9189,9.3294,1318.91,1396.18,36.691,150.557,664.148,17.3177,108.568,21.697,18.905,9.34907,835.343,1014.69,1321.59,1397.9,664.148,33.0267,150.992,3548,,0,94.1371,516.076,19.9005,88.1559,2115.81,4288.39,1165.71,763.629,3000,79.6078,473.63,1253.15,13.7342,12.8833,25.3345,21.4099,3073.32,5177.82,3000,328.557,921.359,2438.52,,
5000,382.303,43.9977,185.414,22.9736,10.4578,1084.18,1097.96,70.4579,216.731,632.613,41.0546,171.914,22.697,22.975,10.4822,857.866,1005.11,1085.23,1098.27,632.613,67.521,217.269,3960.52,,366.906,39.4785,179.654,23.0502,10.5293,1080.71,1095.95,62.8461,208.783,707.059,36.1406,163.713,22.375,23.0536,10.5541,808.256,952.211,1081.99,1096.38,707.059,59.5642,209.293,4102.38,,359.906,42.376,196.813,23.085,10.5829,1080.61,1094.97,67.8755,231.67,706.823,39.0537,181.37,22.375,23.0886,10.6079,808.64,952.46,1081.89,1095.39,706.823,64.6275,232.236,4177.72,,384.531,45.6918,191.081,22.9625,10.4684,1085.41,1099.97,73.2248,227.666,647.365,42.6834,180.074,22.5313,22.9647,10.493,841.249,995.447,1086.55,1100.32,647.365,70.3463,228.237,3945.88,,0,141.322,626.955,24.8756,110.224,1721.03,3607.75,1264.07,886.855,3000,127.028,594.167,1567.72,17.1614,15.6423,20.1645,16.8752,2502.77,4357.46,3000,471.406,1070.72,2886.09,,
6000,666.813,94.9414,288.745,26.5333,11.0427,925.109,903.477,134.709,321.115,869.711,91.0675,274.097,21.5625,26.5581,11.0626,813.391,984.221,925.492,902.868,869.711,131.661,321.771,3893.69,,635.375,84.1522,267.657,26.6897,11.1128,919.445,899.363,117.298,284.499,1136.48,78.8905,243.145,21.3125,26.7166,11.1321,756.141,929.779,920.036,898.94,1136.48,113.204,285.073,4191.13,,616.031,86.6908,285.33,26.7859,11.239,920.221,897.402,121.563,308.243,1136.48,81.4419,262.081,21.3125,26.8133,11.2585,756.141,929.779,920.813,896.971,1136.48,117.502,308.857,4382.28,,666.719,97.7546,294.671,26.5337,11.0358,924.955,904.142,138.811,327.149,869.711,93.8948,279.769,21.5625,26.5586,11.0556,813.391,984.221,925.338,903.539,869.711,135.782,327.821,3885.69,,0,222.11,775.475,29.8507,133.23,1442.16,3129.2,1418.7,1025,3000,208.221,751.498,1894.84,20.5258,18.8311,16.6865,13.9501,2102.92,3783.32,3000,687.509,1238.9,3152.25,,
7000,1061.22,146.516,345.109,29.5462,10.9541,830.559,761.445,189.157,373.64,786.147,143.318,337.647,22.8438,29.5797,10.9688,842.168,925.752,830.389,760.349,786.147,186.827,374.363,3598.31,,1008.72,134.502,328.199,29.8074,11.0157,825.212,756.926,171.584,348.357,935.978,130.495,314.841,22.4375,29.8442,11.0289,817.138,919.309,825.124,755.805,935.978,168.591,349.016,3985.16,,973.867,145.192,359.286,29.9808,11.197,827.15,751.457,186.002,386.122,940.45,141.216,348.571,22.5333,30.018,11.2106,785.577,883.009,827.18,750.494,940.45,183.04,386.844,4279.07,,1055.17,149.124,356.891,29.5763,10.9171,829.292,757.106,192.936,387.447,762.109,146.059,349.687,22.6333,29.611,10.9312,805.519,897.536,829.26,756.144,762.109,190.748,388.187,3590.97,,0,294.25,886.091,34.8259,152.718,1250.16,2822.69,1510.7,1109.18,3000,280.721,867.179,2172.87,24.1357,21.4648,14.4216,12.2201,1809.46,3399.73,3000,838.162,1335.47,3461.9,,
8000,1649.7,212.937,404.635,31.5935,10.536,768.632,674.283,259.826,423.965,923.151,209.386,395.899,21.3333,31.6448,10.5341,790.475,995.544,768.476,672.735,923.151,257.478,424.686,2855.43,,1572.52,200.491,388.215,31.9775,10.6282,763.796,665.071,242.367,408.795,838.333,197.302,381.764,21.4516,32.0302,10.6255,755.538,894.516,763.732,663.76,838.333,240.362,409.481,3324,,1539,213.591,430.639,32.1443,10.9194,769.307,665.876,258.344,454.387,848.228,210.418,425.78,21.4194,32.1979,10.9171,761.372,909.744,769.241,664.491,848.228,256.375,455.142,3778.45,,1654.58,218.831,408.783,31.5693,10.5504,769.827,674.331,267.271,428.453,897.933,215.436,400.878,21.4516,31.6198,10.5491,785.646,986.436,769.697,672.829,897.933,265.037,429.184,2858.52,,0,384.23,994.083,39.801,180.342,1094.61,2380.83,1668.76,1163.44,3000,371.152,978.967,2566.87,27.1656,24.1629,12.3921,10.3901,1609.32,2890.65,3000,1036.61,1411.6,3530.06,,
9000,2373.45,260.738,445.454,32.9679,10.3053,737.525,636.235,306.851,462.735,799.212,258.046,440.65,21.9032,33.0232,10.2978,861.299,1038.22,737.036,634.21,799.212,305.057,463.503,2395.81,,2317.31,254.973,437.324,33.2472,10.3419,736.358,631.113,296.736,452.087,843.284,252.031,431.716,21.7188,33.3048,10.3325,812.752,976.439,736.04,629.37,843.284,294.995,452.822,2821.78,,2229.74,268.742,469.772,33.6829,10.7406,740.869,628,312.505,486.473,863.818,265.767,464.494,21.7742,33.7424,10.7314,822.804,986.835,740.536,626.201,863.818,310.777,487.26,3370.81,,2375.23,258.835,435.095,32.9591,10.2896,738.195,638.905,304.359,450.508,862.631,255.816,429.499,22.0323,33.0137,10.2829,884.29,1055.3,737.632,636.814,862.631,302.334,451.261,2347.48,,0,492.637,1104.69,44.7761,197.808,977.275,2238.72,1791.07,1216.22,3000,480.1,1092.99,2815.07,30.9247,27.3524,11.1741,9.44118,1419.27,2700.91,3000,1238.89,1467.2,3600.23,,
10000,3191.4,283.371,462.265,33.8736,9.68273,716.588,596.365,322.539,461.963,1098.11,279.298,446.125,22.4667,33.9307,9.67008,896.729,1074.92,715.944,593.929,1098.11,319.683,462.725,2169.27,,3154.1,274.262,444.51,34.0592,9.75523,716.806,594.004,309.65,457.017,576.952,272.749,442.523,22.0645,34.1192,9.74002,834.157,992.047,716.374,591.904,576.952,308.828,457.758,2646.94,,3059.76,307.302,496.444,34.5286,10.1608,720.794,589.081,347.3,511.032,606.48,305.806,494.804,22.0345,34.591,10.1451,815.072,979.974,720.452,587.086,606.48,346.514,511.848,3245.34,,3202.34,285.756,465.639,33.8192,9.72158,717.271,598.487,324.437,460.997,1325.63,280.557,444.616,22.3448,33.8766,9.70874,863.875,1036.76,716.743,596.276,1325.63,320.876,461.755,2147.93,,0,588.136,1183.62,49.7512,223.272,888.412,2054.61,1919.05,1226.29,3000,576.077,1174.1,3177.48,34.1126,30.4714,10.0694,8.42023,1299.32,2487.29,3000,1413.01,1484.79,3581.45,,
